mmsi,t_s,lat,lon,sog_kn,cog_deg,heading_deg
701000101,0.0,-1.6200,105.2200,12.0,82.0,82.0
701000101,1800.0,-1.5900,105.3800,12.0,82.0,82.0
701000101,3600.0,-1.5600,105.5400,12.0,82.0,82.0
701000101,5400.0,-1.5300,105.7000,12.0,82.0,82.0
701000202,0.0,-1.3000,105.5000,10.0,240.0,240.0
701000202,1800.0,-1.3600,105.4300,10.0,240.0,240.0
701000202,3600.0,-1.4200,105.3600,10.0,240.0,240.0
701000202,5400.0,-1.4800,105.2900,10.0,240.0,240.0
701000303,0.0,-1.7600,105.8600,9.0,15.0,15.0
701000303,1800.0,-1.6200,105.9000,9.0,15.0,15.0
701000303,3600.0,-1.4800,105.9400,9.0,15.0,15.0
701000303,5400.0,-1.3400,105.9800,9.0,15.0,15.0
701000404,0.0,-1.1800,105.9300,8.0,190.0,190.0
701000404,1800.0,-1.3300,105.9100,8.0,190.0,190.0
701000404,3600.0,-1.4800,105.8900,8.0,190.0,190.0
701000404,5400.0,-1.6300,105.8700,8.0,190.0,190.0
