scenario_id,source,rule,odd_domain,pass_fail,quality_score,min_cpa_nm,wall_clock_s,notes
imazu-01-ho-v1.0,imazu22,Rule14,open_sea_offshore_wind_farm,True,0.9057,3.4237,0.0003,
imazu-02-cr-gw-v1.0,imazu22,Rule14,open_sea_offshore_wind_farm,True,0.898,1.3959,0.0004,
imazu-03-ot-v1.0,imazu22,Rule13,open_sea_offshore_wind_farm,True,0.898,0.6072,0.0004,
imazu-04-cr-so-v1.0,imazu22,Rule14,open_sea_offshore_wind_farm,True,0.898,2.4999,0.0004,
imazu-05-ms-v1.0,imazu22,Rule14,open_sea_offshore_wind_farm,True,0.898,1.3959,0.0004,
imazu-06-ms-v1.0,imazu22,Rule14,open_sea_offshore_wind_farm,True,0.898,1.0928,0.0004,
imazu-07-ms-v1.0,imazu22,Rule14,open_sea_offshore_wind_farm,True,0.898,0.873,0.0004,
imazu-08-ms-v1.0,imazu22,Rule14,open_sea_offshore_wind_farm,True,0.898,2.4818,0.0004,
imazu-09-ms-v1.0,imazu22,Rule14,open_sea_offshore_wind_farm,True,0.898,1.3959,0.0004,
imazu-10-ms-v1.0,imazu22,Rule14,open_sea_offshore_wind_farm,True,0.898,1.3959,0.0004,
imazu-11-ms-v1.0,imazu22,Rule14,open_sea_offshore_wind_farm,True,0.898,2.4818,0.0004,
imazu-12-ms-v1.0,imazu22,Rule14,open_sea_offshore_wind_farm,True,0.898,0.6793,0.0004,
imazu-13-ms-v1.0,imazu22,Rule14,open_sea_offshore_wind_farm,True,0.898,2.422,0.0004,
imazu-14-ms-v1.0,imazu22,Rule14,open_sea_offshore_wind_farm,True,0.898,0.8987,0.0004,
imazu-15-ms-v1.0,imazu22,Rule14,open_sea_offshore_wind_farm,True,0.898,0.8987,0.0004,
imazu-16-ms-v1.0,imazu22,Rule14,open_sea_offshore_wind_farm,True,0.898,2.3788,0.0004,
imazu-17-ms-v1.0,imazu22,Rule14,open_sea_offshore_wind_farm,True,0.898,0.8987,0.0004,
imazu-18-ms-v1.0,imazu22,Rule14,open_sea_offshore_wind_farm,True,0.898,0.8987,0.0004,
imazu-19-ms-v1.0,imazu22,Rule14,open_sea_offshore_wind_farm,True,0.898,0.5292,0.0004,
imazu-20-ms-v1.0,imazu22,Rule14,open_sea_offshore_wind_farm,True,0.898,0.4006,0.0004,
imazu-21-ms-v1.0,imazu22,Rule14,open_sea_offshore_wind_farm,True,0.898,0.5292,0.0004,
imazu-22-ms-v1.0,imazu22,Rule14,open_sea_offshore_wind_farm,True,0.898,0.8987,0.0004,
ou-crossing-give-way-01-v1.0,ou_mode_d2.4,Rule15,open_sea_offshore_wind_farm,True,0.918,2.3698,0.0002,
ou-crossing-stand-on-01-v1.0,ou_mode_d2.4,Rule15,open_sea_offshore_wind_farm,True,0.8701,1.5535,0.0002,
ou-head-on-01-v1.0,ou_mode_d2.4,Rule14,open_sea_offshore_wind_farm,True,0.9057,3.3971,0.0003,
ou-overtaking-01-v1.0,ou_mode_d2.4,Rule13,open_sea_offshore_wind_farm,True,0.9025,1.7583,0.0003,
ou-restricted-vis-01-v1.0,ou_mode_d2.4,Rule19,open_sea_offshore_wind_farm,True,0.8841,1.5908,0.0002,
ais-rule13-05-v1.0,ais_derived,Rule13,open_sea_offshore_wind_farm,True,0.9159,1.695,0.0003,
ais-rule14-01-v1.0,ais_derived,Rule14,open_sea_offshore_wind_farm,True,0.9057,3.3316,0.0003,
ais-rule14-02-v1.0,ais_derived,Rule14,open_sea_offshore_wind_farm,True,0.908,2.9163,0.0003,
ais-rule15-port-04-v1.0,ais_derived,Rule15,open_sea_offshore_wind_farm,True,0.9108,2.0345,0.0003,
ais-rule15-starboard-03-v1.0,ais_derived,Rule15,open_sea_offshore_wind_farm,True,0.9114,2.2429,0.0003,
synth-multi-01-v1.0,synthetic_d2.4,Rule14,open_sea_offshore_wind_farm,True,0.9057,3.3971,0.0003,
synth-multi-02-v1.0,synthetic_d2.4,Rule15,open_sea_offshore_wind_farm,True,0.918,2.3698,0.0002,
synth-r05-01-v1.0,synthetic_d2.4,Rule5,open_sea_offshore_wind_farm,True,0.8701,0.4925,0.0002,
synth-r05-02-v1.0,synthetic_d2.4,Rule5,coastal_archipelago,True,0.8841,0.4916,0.0002,
synth-r05-03-v1.0,synthetic_d2.4,Rule5,open_sea_offshore_wind_farm,False,0.8701,0.2477,0.0002,
synth-r06-01-v1.0,synthetic_d2.4,Rule6,open_sea_offshore_wind_farm,True,0.9052,1.3088,0.0002,
synth-r06-02-v1.0,synthetic_d2.4,Rule6,open_sea_offshore_wind_farm,True,0.8935,0.3818,0.0002,
synth-r06-03-v1.0,synthetic_d2.4,Rule6,open_sea_offshore_wind_farm,False,0.8701,0.0,0.0002,
synth-r07-01-v1.0,synthetic_d2.4,Rule7,open_sea_offshore_wind_farm,True,0.9057,3.3971,0.0003,
synth-r07-02-v1.0,synthetic_d2.4,Rule7,open_sea_offshore_wind_farm,True,0.9101,1.9571,0.0002,
synth-r07-03-v1.0,synthetic_d2.4,Rule7,open_sea_offshore_wind_farm,True,0.9352,1.5112,0.0002,
synth-r08-01-v1.0,synthetic_d2.4,Rule8,open_sea_offshore_wind_farm,True,0.9126,2.7794,0.0003,
synth-r08-02-v1.0,synthetic_d2.4,Rule8,open_sea_offshore_wind_farm,True,0.8701,2.249,0.0002,
synth-r09-01-v1.0,synthetic_d2.4,Rule9,coastal_archipelago,True,0.9107,1.4442,0.0002,
synth-r09-02-v1.0,synthetic_d2.4,Rule9,coastal_archipelago,True,0.918,1.2364,0.0002,
synth-r09-03-v1.0,synthetic_d2.4,Rule9,coastal_archipelago,True,0.9107,1.9924,0.0002,
synth-r19-01-v1.0,synthetic_d2.4,Rule19,open_sea_offshore_wind_farm,True,0.9052,1.0707,0.0002,
synth-r19-02-v1.0,synthetic_d2.4,Rule19,open_sea_offshore_wind_farm,True,0.8935,1.4311,0.0002,
