scenario_id,rule,odd,disturbance,seed,na_cell,verdict,cpa_min_nm,asdr_hash,safety_score,rule_score,delay_pen,mag_pen,phase_score,total_score,iv_mode,fail_gif_path
Rule5_open_sea_bf_0_1_s1,Rule5,open_sea,bf_0_1,1,False,ERROR:No module named 'tools',,,,,,,,,,
Rule5_open_sea_bf_0_1_s2,Rule5,open_sea,bf_0_1,2,False,ERROR:No module named 'tools',,,,,,,,,,
Rule5_open_sea_bf_0_1_s3,Rule5,open_sea,bf_0_1,3,False,ERROR:No module named 'tools',,,,,,,,,,
Rule5_open_sea_bf_0_1_s4,Rule5,open_sea,bf_0_1,4,False,ERROR:No module named 'tools',,,,,,,,,,
Rule5_open_sea_bf_0_1_s5,Rule5,open_sea,bf_0_1,5,False,ERROR:No module named 'tools',,,,,,,,,,
Rule5_open_sea_bf_2_3_s1,Rule5,open_sea,bf_2_3,1,False,ERROR:No module named 'tools',,,,,,,,,,
Rule5_open_sea_bf_2_3_s2,Rule5,open_sea,bf_2_3,2,False,ERROR:No module named 'tools',,,,,,,,,,
Rule5_open_sea_bf_2_3_s3,Rule5,open_sea,bf_2_3,3,False,ERROR:No module named 'tools',,,,,,,,,,
Rule5_open_sea_bf_2_3_s4,Rule5,open_sea,bf_2_3,4,False,ERROR:No module named 'tools',,,,,,,,,,
Rule5_open_sea_bf_2_3_s5,Rule5,open_sea,bf_2_3,5,False,ERROR:No module named 'tools',,,,,,,,,,
Rule5_open_sea_bf_4_5_s1,Rule5,open_sea,bf_4_5,1,False,ERROR:No module named 'tools',,,,,,,,,,
Rule5_open_sea_bf_4_5_s2,Rule5,open_sea,bf_4_5,2,False,ERROR:No module named 'tools',,,,,,,,,,
Rule5_open_sea_bf_4_5_s3,Rule5,open_sea,bf_4_5,3,False,ERROR:No module named 'tools',,,,,,,,,,
Rule5_open_sea_bf_4_5_s4,Rule5,open_sea,bf_4_5,4,False,ERROR:No module named 'tools',,,,,,,,,,
Rule5_open_sea_bf_4_5_s5,Rule5,open_sea,bf_4_5,5,False,ERROR:No module named 'tools',,,,,,,,,,
Rule5_open_sea_bf_6_7_s1,Rule5,open_sea,bf_6_7,1,False,ERROR:No module named 'tools',,,,,,,,,,
Rule5_open_sea_bf_6_7_s2,Rule5,open_sea,bf_6_7,2,False,ERROR:No module named 'tools',,,,,,,,,,
Rule5_open_sea_bf_6_7_s3,Rule5,open_sea,bf_6_7,3,False,ERROR:No module named 'tools',,,,,,,,,,
Rule5_open_sea_bf_6_7_s4,Rule5,open_sea,bf_6_7,4,False,ERROR:No module named 'tools',,,,,,,,,,
Rule5_open_sea_bf_6_7_s5,Rule5,open_sea,bf_6_7,5,False,ERROR:No module named 'tools',,,,,,,,,,
