scenario_id,rule,odd,disturbance,seed,na_cell,verdict,cpa_min_nm,asdr_hash,safety_score,rule_score,delay_pen,mag_pen,phase_score,total_score,iv_mode,fail_gif_path
iv_dual_gw_Rule16_open_sea_b45_s1,Rule16,open_sea,bf_2_3,0,False,PASS,1.3355,73a2f4730a104111,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,give_way,
iv_dual_gw_Rule16_open_sea_b45_s2,Rule16,open_sea,bf_2_3,0,False,PASS,1.3355,8867f552e5f4c588,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,give_way,
iv_dual_gw_Rule16_open_sea_b45_s3,Rule16,open_sea,bf_2_3,0,False,PASS,1.3355,f60b7b4c7383f361,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,give_way,
iv_dual_gw_Rule16_open_sea_b45_s4,Rule16,open_sea,bf_2_3,0,False,PASS,1.3355,9729c11899f7990f,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,give_way,
iv_dual_gw_Rule16_open_sea_b45_s5,Rule16,open_sea,bf_2_3,0,False,PASS,1.3355,667e777d9d3191cf,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,give_way,
iv_dual_so_Rule17_open_sea_b315_s1,Rule17,open_sea,bf_2_3,0,False,PASS,1.3355,73f9fe4fd2804eba,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,stand_on,
iv_dual_so_Rule17_open_sea_b315_s2,Rule17,open_sea,bf_2_3,0,False,PASS,1.3355,75739668e09e7fc8,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,stand_on,
iv_dual_so_Rule17_open_sea_b315_s3,Rule17,open_sea,bf_2_3,0,False,PASS,1.3355,eb789432f63acfd8,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,stand_on,
iv_dual_so_Rule17_open_sea_b315_s4,Rule17,open_sea,bf_2_3,0,False,PASS,1.3355,2ecd0f62f9fec46a,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,stand_on,
iv_dual_so_Rule17_open_sea_b315_s5,Rule17,open_sea,bf_2_3,0,False,PASS,1.3355,e122cee0b278f8f4,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,stand_on,
iv_nc_Rule17_open_sea_b240_s4,Rule17,open_sea,bf_2_3,0,False,PASS,1.3370,b1e77a77a1c851f4,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,non_compliant,
iv_nc_Rule17_open_sea_b270_s3,Rule17,open_sea,bf_2_3,0,False,PASS,1.3363,12eeb811c70ac5db,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,non_compliant,
iv_nc_Rule17_open_sea_b300_s2,Rule17,open_sea,bf_2_3,0,False,PASS,1.3355,adb0e88ccbc0caef,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,non_compliant,
iv_nc_Rule17_open_sea_b315_s1,Rule17,open_sea,bf_2_3,0,False,PASS,1.3355,d92cf02622f004fa,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,non_compliant,
iv_nc_Rule17_open_sea_b330_s5,Rule17,open_sea,bf_2_3,0,False,PASS,1.3358,7ec9d91ef42908e3,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,non_compliant,
iv_r16_gw_Rule16_coastal_traffic_separation_b120_s4,Rule16,coastal_traffic_separation,bf_2_3,0,False,PASS,1.3368,1c288e48be703035,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,give_way,
iv_r16_gw_Rule16_coastal_traffic_separation_b30_s5,Rule16,coastal_traffic_separation,bf_2_3,0,False,PASS,1.8472,b1703f7d90c27bcb,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,give_way,
iv_r16_gw_Rule16_coastal_traffic_separation_b45_s1,Rule16,coastal_traffic_separation,bf_2_3,0,False,PASS,1.3357,185238809553f5fc,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,give_way,
iv_r16_gw_Rule16_coastal_traffic_separation_b60_s2,Rule16,coastal_traffic_separation,bf_2_3,0,False,PASS,1.3357,8babb0397c2ae8ff,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,give_way,
iv_r16_gw_Rule16_coastal_traffic_separation_b90_s3,Rule16,coastal_traffic_separation,bf_2_3,0,False,PASS,1.3363,1fad053a8a3a33db,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,give_way,
iv_r16_gw_Rule16_open_sea_b120_s4,Rule16,open_sea,bf_2_3,0,False,PASS,1.3370,17c17064badd3605,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,give_way,
iv_r16_gw_Rule16_open_sea_b30_s5,Rule16,open_sea,bf_2_3,0,False,PASS,1.8499,27a9cd0ea95c3213,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,give_way,
iv_r16_gw_Rule16_open_sea_b45_s1,Rule16,open_sea,bf_2_3,0,False,PASS,1.3355,0349fb5950f672ff,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,give_way,
iv_r16_gw_Rule16_open_sea_b60_s2,Rule16,open_sea,bf_2_3,0,False,PASS,1.3355,d59d7d57790f1d63,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,give_way,
iv_r16_gw_Rule16_open_sea_b90_s3,Rule16,open_sea,bf_2_3,0,False,PASS,1.3363,5046d3ba1f12fbf2,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,give_way,
iv_r16_gw_Rule16_port_approach_b120_s4,Rule16,port_approach,bf_2_3,0,False,PASS,1.3370,8b54a8b39ec30c52,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,give_way,
