scenario_id,rule,odd,disturbance,seed,na_cell,verdict,cpa_min_nm,asdr_hash,safety_score,rule_score,delay_pen,mag_pen,phase_score,total_score,iv_mode,fail_gif_path
mc_00000,MC,open_sea,bf_2_3,0,False,FAIL,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00001,MC,open_sea,bf_2_3,0,False,SKIP,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00002,MC,open_sea,bf_2_3,0,False,SKIP,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00003,MC,open_sea,bf_2_3,0,False,SKIP,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00004,MC,open_sea,bf_2_3,0,False,FAIL,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00005,MC,open_sea,bf_2_3,0,False,FAIL,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00006,MC,open_sea,bf_2_3,0,False,FAIL,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00007,MC,open_sea,bf_2_3,0,False,SKIP,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00008,MC,open_sea,bf_2_3,0,False,SKIP,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00009,MC,open_sea,bf_2_3,0,False,SKIP,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00010,MC,open_sea,bf_2_3,0,False,FAIL,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00011,MC,open_sea,bf_2_3,0,False,SKIP,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00012,MC,open_sea,bf_2_3,0,False,FAIL,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00013,MC,open_sea,bf_2_3,0,False,FAIL,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00014,MC,open_sea,bf_2_3,0,False,FAIL,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00015,MC,open_sea,bf_2_3,0,False,FAIL,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00016,MC,open_sea,bf_2_3,0,False,SKIP,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00017,MC,open_sea,bf_2_3,0,False,FAIL,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00018,MC,open_sea,bf_2_3,0,False,SKIP,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00019,MC,open_sea,bf_2_3,0,False,SKIP,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00020,MC,open_sea,bf_2_3,0,False,SKIP,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00021,MC,open_sea,bf_2_3,0,False,FAIL,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00022,MC,open_sea,bf_2_3,0,False,SKIP,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00023,MC,open_sea,bf_2_3,0,False,FAIL,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00024,MC,open_sea,bf_2_3,0,False,SKIP,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00025,MC,open_sea,bf_2_3,0,False,SKIP,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00026,MC,open_sea,bf_2_3,0,False,FAIL,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00027,MC,open_sea,bf_2_3,0,False,FAIL,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00028,MC,open_sea,bf_2_3,0,False,FAIL,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00029,MC,open_sea,bf_2_3,0,False,FAIL,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00030,MC,open_sea,bf_2_3,0,False,SKIP,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
mc_00031,MC,open_sea,bf_2_3,0,False,FAIL,0.0000,,0.0000,1.0,0.0,0.0,1.0,0.0000,,
