scenario_id,trigger_type,verdict,cpa_min_nm,rule_violated,fail_frame_idx,asdr_hash,gif_path,root_cause_category,root_cause_detail,mitigation
sotif_C09_s1,sotif,FAIL,0.1500,Rule14,,ec65d15ed6febcb2,,GEOMETRIC,CPA=0.1500 NM,
sotif_C09_s2,sotif,FAIL,0.1500,Rule14,,5748bce6230851d7,,GEOMETRIC,CPA=0.1500 NM,
sotif_C09_s3,sotif,FAIL,0.1500,Rule14,,447230ea61d476ad,,GEOMETRIC,CPA=0.1500 NM,
sotif_C09_s4,sotif,FAIL,0.1500,Rule14,,c56d03f55d1b11a4,,GEOMETRIC,CPA=0.1500 NM,
sotif_C09_s5,sotif,FAIL,0.1500,Rule14,,bd30ef7fe0600219,,GEOMETRIC,CPA=0.1500 NM,
mc_00000,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00004,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00005,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00006,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00010,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00012,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00013,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00014,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00015,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00017,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00021,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00023,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00026,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00027,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00028,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00029,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00031,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00035,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00037,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00038,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00040,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00041,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00042,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00043,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00044,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00045,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00046,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00050,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00051,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00052,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00054,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00055,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00058,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00060,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00061,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00062,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00063,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00064,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00065,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00066,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00067,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00068,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00069,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00071,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00074,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00076,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00078,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00081,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00083,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00084,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00085,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00088,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00089,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00093,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00094,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00095,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00096,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00098,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00099,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00100,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00101,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00103,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00106,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00109,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00112,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00121,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00123,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00124,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00127,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00133,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00134,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00137,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00139,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00141,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00142,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00143,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00146,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00148,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00149,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00154,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00157,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00158,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00159,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00160,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00163,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00164,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00165,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00166,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00167,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00169,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00170,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00172,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00174,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00176,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00179,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00180,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00181,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00182,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00183,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00185,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
mc_00186,mc,FAIL,0.0000,MC,,,,M5_MPC,CPA=0.0000 NM,
