scenario_id,rule,odd,disturbance,seed,na_cell,verdict,cpa_min_nm,asdr_hash,safety_score,rule_score,delay_pen,mag_pen,phase_score,total_score,iv_mode,fail_gif_path,trigger_id,assumption_class
sotif_A01_s1,Rule14,open_sea,sensor_degraded,1,False,PASS,0.3500,37666454089d010a,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A01,AIS_RADAR_CONSISTENCY
sotif_A01_s2,Rule14,open_sea,sensor_degraded,2,False,PASS,0.3500,57f2321c741494c9,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A01,AIS_RADAR_CONSISTENCY
sotif_A01_s3,Rule14,open_sea,sensor_degraded,3,False,PASS,0.3500,94985841e36955a2,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A01,AIS_RADAR_CONSISTENCY
sotif_A01_s4,Rule14,open_sea,sensor_degraded,4,False,PASS,0.3500,1f2e8bc95513abe9,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A01,AIS_RADAR_CONSISTENCY
sotif_A01_s5,Rule14,open_sea,sensor_degraded,5,False,PASS,0.3500,6a17949695e48d88,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A01,AIS_RADAR_CONSISTENCY
sotif_A02_s1,Rule14,open_sea,sensor_degraded,1,False,PASS,0.3500,97b101c5c1deb4ba,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A02,PERCEPTION_COVERAGE
sotif_A02_s2,Rule14,open_sea,sensor_degraded,2,False,PASS,0.3500,0bb949d99550f75d,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A02,PERCEPTION_COVERAGE
sotif_A02_s3,Rule14,open_sea,sensor_degraded,3,False,PASS,0.3500,824454330d3550b9,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A02,PERCEPTION_COVERAGE
sotif_A02_s4,Rule14,open_sea,sensor_degraded,4,False,PASS,0.3500,59f61e9b3fb5d892,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A02,PERCEPTION_COVERAGE
sotif_A02_s5,Rule14,open_sea,sensor_degraded,5,False,PASS,0.3500,525c9464e05942d3,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A02,PERCEPTION_COVERAGE
sotif_A03_s1,Rule14,open_sea,sensor_degraded,1,False,PASS,0.3500,55584aee2be5dc75,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A03,TARGET_MOTION_PREDICTABILITY
sotif_A03_s2,Rule14,open_sea,sensor_degraded,2,False,PASS,0.3500,911e2d42acd2a568,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A03,TARGET_MOTION_PREDICTABILITY
sotif_A03_s3,Rule14,open_sea,sensor_degraded,3,False,PASS,0.3500,0ff203f28895d479,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A03,TARGET_MOTION_PREDICTABILITY
sotif_A03_s4,Rule14,open_sea,sensor_degraded,4,False,PASS,0.3500,39f96eb10426c220,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A03,TARGET_MOTION_PREDICTABILITY
sotif_A03_s5,Rule14,open_sea,sensor_degraded,5,False,PASS,0.3500,bf23dbb0c0af0863,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A03,TARGET_MOTION_PREDICTABILITY
sotif_A04_s1,Rule14,open_sea,sensor_degraded,1,False,PASS,0.3500,d7d297eb16af43d4,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A04,COLREGS_PARSABILITY
sotif_A04_s2,Rule14,open_sea,sensor_degraded,2,False,PASS,0.3500,e47e51d5f54db70f,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A04,COLREGS_PARSABILITY
sotif_A04_s3,Rule14,open_sea,sensor_degraded,3,False,PASS,0.3500,a4e425bf3103e066,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A04,COLREGS_PARSABILITY
sotif_A04_s4,Rule14,open_sea,sensor_degraded,4,False,PASS,0.3500,b9b74035200d9156,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A04,COLREGS_PARSABILITY
sotif_A04_s5,Rule14,open_sea,sensor_degraded,5,False,PASS,0.3500,babfbbe265127a0d,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A04,COLREGS_PARSABILITY
sotif_A05_s1,Rule14,open_sea,sensor_degraded,1,False,PASS,0.3500,e90792dd4d594a09,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A05,COMMS_LINK_AVAILABILITY
sotif_A05_s2,Rule14,open_sea,sensor_degraded,2,False,PASS,0.3500,5693d0581ee5e0e5,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A05,COMMS_LINK_AVAILABILITY
sotif_A05_s3,Rule14,open_sea,sensor_degraded,3,False,PASS,0.3500,2054a63a928a2eb3,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A05,COMMS_LINK_AVAILABILITY
sotif_A05_s4,Rule14,open_sea,sensor_degraded,4,False,PASS,0.3500,23d0ba9bb579e303,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A05,COMMS_LINK_AVAILABILITY
sotif_A05_s5,Rule14,open_sea,sensor_degraded,5,False,PASS,0.3500,dccce73d90e249d0,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A05,COMMS_LINK_AVAILABILITY
sotif_A06_s1,Rule14,open_sea,sensor_degraded,1,False,PASS,0.3500,f0c92a3ea9f530d5,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A06,CHECKER_VETO_RATE
sotif_A06_s2,Rule14,open_sea,sensor_degraded,2,False,PASS,0.3500,a452348a85ce14a3,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A06,CHECKER_VETO_RATE
sotif_A06_s3,Rule14,open_sea,sensor_degraded,3,False,PASS,0.3500,f28c90dc6aad2394,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A06,CHECKER_VETO_RATE
sotif_A06_s4,Rule14,open_sea,sensor_degraded,4,False,PASS,0.3500,1e21331327c1dca9,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A06,CHECKER_VETO_RATE
sotif_A06_s5,Rule14,open_sea,sensor_degraded,5,False,PASS,0.3500,19092d9528cc5381,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A06,CHECKER_VETO_RATE
sotif_A07_s1,Rule14,open_sea,sensor_degraded,1,False,PASS,0.3500,71da34b126b1dd00,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A07,PERCEPTION_COVERAGE
sotif_A07_s2,Rule14,open_sea,sensor_degraded,2,False,PASS,0.3500,c2424949cadee4ee,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A07,PERCEPTION_COVERAGE
sotif_A07_s3,Rule14,open_sea,sensor_degraded,3,False,PASS,0.3500,0b9169f33e2d07a6,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A07,PERCEPTION_COVERAGE
sotif_A07_s4,Rule14,open_sea,sensor_degraded,4,False,PASS,0.3500,10f982a34a58741b,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A07,PERCEPTION_COVERAGE
sotif_A07_s5,Rule14,open_sea,sensor_degraded,5,False,PASS,0.3500,4b3dffadc5683bad,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A07,PERCEPTION_COVERAGE
sotif_A08_s1,Rule14,open_sea,sensor_degraded,1,False,PASS,0.3500,e130baebe5580e38,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A08,AIS_RADAR_CONSISTENCY
sotif_A08_s2,Rule14,open_sea,sensor_degraded,2,False,PASS,0.3500,d02440e58ed86f16,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A08,AIS_RADAR_CONSISTENCY
sotif_A08_s3,Rule14,open_sea,sensor_degraded,3,False,PASS,0.3500,6a166d7def417164,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A08,AIS_RADAR_CONSISTENCY
sotif_A08_s4,Rule14,open_sea,sensor_degraded,4,False,PASS,0.3500,f9cf8d76beccf477,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A08,AIS_RADAR_CONSISTENCY
sotif_A08_s5,Rule14,open_sea,sensor_degraded,5,False,PASS,0.3500,d3dac40b8ad94b27,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A08,AIS_RADAR_CONSISTENCY
sotif_A09_s1,Rule14,open_sea,sensor_degraded,1,False,PASS,0.3500,ab1b4420dc8dd2c5,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A09,PERCEPTION_COVERAGE
sotif_A09_s2,Rule14,open_sea,sensor_degraded,2,False,PASS,0.3500,9b3f77033c622a71,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A09,PERCEPTION_COVERAGE
sotif_A09_s3,Rule14,open_sea,sensor_degraded,3,False,PASS,0.3500,cd52705d59a073e5,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A09,PERCEPTION_COVERAGE
sotif_A09_s4,Rule14,open_sea,sensor_degraded,4,False,PASS,0.3500,4f196e62066ee421,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A09,PERCEPTION_COVERAGE
sotif_A09_s5,Rule14,open_sea,sensor_degraded,5,False,PASS,0.3500,35eaf6b0c44afc24,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A09,PERCEPTION_COVERAGE
sotif_A10_s1,Rule14,open_sea,sensor_degraded,1,False,PASS,0.3500,a19646fe57ed4e4a,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A10,TARGET_MOTION_PREDICTABILITY
sotif_A10_s2,Rule14,open_sea,sensor_degraded,2,False,PASS,0.3500,0beec2e5b92d0aae,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A10,TARGET_MOTION_PREDICTABILITY
sotif_A10_s3,Rule14,open_sea,sensor_degraded,3,False,PASS,0.3500,a1a0ef17ee7aacbc,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A10,TARGET_MOTION_PREDICTABILITY
sotif_A10_s4,Rule14,open_sea,sensor_degraded,4,False,PASS,0.3500,154aeb0ae2015074,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A10,TARGET_MOTION_PREDICTABILITY
sotif_A10_s5,Rule14,open_sea,sensor_degraded,5,False,PASS,0.3500,819aea2212e07bdb,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A10,TARGET_MOTION_PREDICTABILITY
sotif_A11_s1,Rule14,open_sea,sensor_degraded,1,False,PASS,0.3500,3b959caf90548363,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A11,COLREGS_PARSABILITY
