scenario_id,rule,odd_zone,wind_kn,vis_m,seed,colreg_rules,hazid_refs,test_ids,acceptance_criteria
imazu-01-ho-v1.0,Rule14,open_sea,0.0,10001,1,Rule14,HAZ-001;HAZ-002,TC-imazu-01-ho,CPA>=500.0m
imazu-02-cr-gw-v1.0,Rule15,open_sea,0.0,10001,1,Rule15,HAZ-004;HAZ-005,TC-imazu-02-cr-gw,CPA>=500.0m
imazu-03-ot-v1.0,Rule13,open_sea,0.0,10001,1,Rule13,HAZ-003,TC-imazu-03-ot,CPA>=500.0m
imazu-04-cr-so-v1.0,Rule15,open_sea,0.0,10001,1,Rule15,HAZ-004;HAZ-005,TC-imazu-04-cr-so,CPA>=500.0m
imazu-05-ms-v1.0,Rule14,open_sea,0.0,10001,1,Rule14,HAZ-001;HAZ-002,TC-imazu-05-ms,CPA>=300.0m
imazu-06-ms-v1.0,Rule14,open_sea,0.0,10001,1,Rule14,HAZ-001;HAZ-002,TC-imazu-06-ms,CPA>=300.0m
imazu-07-ms-v1.0,Rule14,open_sea,0.0,10001,1,Rule14,HAZ-001;HAZ-002,TC-imazu-07-ms,CPA>=300.0m
imazu-08-ms-v1.0,Rule14,open_sea,0.0,10001,1,Rule14,HAZ-001;HAZ-002,TC-imazu-08-ms,CPA>=300.0m
imazu-09-ms-v1.0,Rule14,open_sea,0.0,10001,1,Rule14,HAZ-001;HAZ-002,TC-imazu-09-ms,CPA>=300.0m
imazu-10-ms-v1.0,Rule14,open_sea,0.0,10001,1,Rule14,HAZ-001;HAZ-002,TC-imazu-10-ms,CPA>=300.0m
imazu-11-ms-v1.0,Rule14,open_sea,0.0,10001,1,Rule14,HAZ-001;HAZ-002,TC-imazu-11-ms,CPA>=300.0m
imazu-12-ms-v1.0,Rule14,open_sea,0.0,10001,1,Rule14,HAZ-001;HAZ-002,TC-imazu-12-ms,CPA>=300.0m
imazu-13-ms-v1.0,Rule14,open_sea,0.0,10001,1,Rule14,HAZ-001;HAZ-002,TC-imazu-13-ms,CPA>=300.0m
imazu-14-ms-v1.0,Rule14,open_sea,0.0,10001,1,Rule14,HAZ-001;HAZ-002,TC-imazu-14-ms,CPA>=300.0m
