scenario_id,rule_id,odd_zone,target_count,own_sog_kn,wind_kn,vis_m,seed,source,file
colreg-rule13-ot-002-v1.0,Rule13,open_sea_offshore_wind_farm,1,14.0,0.0,10000.8,21,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule13-ot-2.yaml
colreg-rule13-ot-002-v1.0,Rule16,open_sea_offshore_wind_farm,1,14.0,0.0,10000.8,21,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule13-ot-2.yaml
colreg-rule13-ot-002-v1.0,Rule8,open_sea_offshore_wind_farm,1,14.0,0.0,10000.8,21,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule13-ot-2.yaml
colreg-rule13-ot-003-v1.0,Rule13,open_sea_offshore_wind_farm,1,14.0,8.0,10000.8,22,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule13-ot-3.yaml
colreg-rule13-ot-003-v1.0,Rule16,open_sea_offshore_wind_farm,1,14.0,8.0,10000.8,22,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule13-ot-3.yaml
colreg-rule13-ot-003-v1.0,Rule8,open_sea_offshore_wind_farm,1,14.0,8.0,10000.8,22,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule13-ot-3.yaml
colreg-rule13-ot-001-v1.0,Rule13,open_sea_offshore_wind_farm,1,14.0,0.0,10000.8,20,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule13-ot.yaml
colreg-rule13-ot-001-v1.0,Rule16,open_sea_offshore_wind_farm,1,14.0,0.0,10000.8,20,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule13-ot.yaml
colreg-rule13-ot-001-v1.0,Rule8,open_sea_offshore_wind_farm,1,14.0,0.0,10000.8,20,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule13-ot.yaml
colreg-rule14-ho-002-v1.0,Rule14,open_sea_offshore_wind_farm,1,12.0,5.0,5000.4,43,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule14-ho-2.yaml
colreg-rule14-ho-002-v1.0,Rule8,open_sea_offshore_wind_farm,1,12.0,5.0,5000.4,43,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule14-ho-2.yaml
colreg-rule14-ho-003-v1.0,Rule14,restricted_fairway,1,15.0,0.0,1000.1,44,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule14-ho-3.yaml
colreg-rule14-ho-003-v1.0,Rule19,restricted_fairway,1,15.0,0.0,1000.1,44,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule14-ho-3.yaml
colreg-rule14-ho-003-v1.0,Rule8,restricted_fairway,1,15.0,0.0,1000.1,44,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule14-ho-3.yaml
colreg-rule14-ho-001-v1.0,Rule14,open_sea_offshore_wind_farm,1,12.0,0.0,10000.8,42,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule14-ho.yaml
colreg-rule14-ho-001-v1.0,Rule8,open_sea_offshore_wind_farm,1,12.0,0.0,10000.8,42,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule14-ho.yaml
colreg-rule15-cs-002-v1.0,Rule15,open_sea_offshore_wind_farm,1,10.0,0.0,10000.8,11,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule15-cs-2.yaml
colreg-rule15-cs-002-v1.0,Rule16,open_sea_offshore_wind_farm,1,10.0,0.0,10000.8,11,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule15-cs-2.yaml
colreg-rule15-cs-002-v1.0,Rule8,open_sea_offshore_wind_farm,1,10.0,0.0,10000.8,11,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule15-cs-2.yaml
colreg-rule15-cs-003-v1.0,Rule15,open_sea_offshore_wind_farm,1,10.0,0.0,10000.8,12,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule15-cs-3.yaml
colreg-rule15-cs-003-v1.0,Rule17,open_sea_offshore_wind_farm,1,10.0,0.0,10000.8,12,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule15-cs-3.yaml
colreg-rule15-cs-004-v1.0,Rule15,open_sea_offshore_wind_farm,1,12.0,0.0,10000.8,13,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule15-cs-4.yaml
colreg-rule15-cs-004-v1.0,Rule16,open_sea_offshore_wind_farm,1,12.0,0.0,10000.8,13,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule15-cs-4.yaml
colreg-rule15-cs-004-v1.0,Rule8,open_sea_offshore_wind_farm,1,12.0,0.0,10000.8,13,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule15-cs-4.yaml
colreg-rule15-cs-001-v1.0,Rule15,open_sea_offshore_wind_farm,1,10.0,0.0,10000.8,10,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule15-cs.yaml
colreg-rule15-cs-001-v1.0,Rule16,open_sea_offshore_wind_farm,1,10.0,0.0,10000.8,10,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule15-cs.yaml
colreg-rule15-cs-001-v1.0,Rule8,open_sea_offshore_wind_farm,1,10.0,0.0,10000.8,10,COLREGs测试,../../scenarios/COLREGs测试/colreg-rule15-cs.yaml
imazu-01-ho-v1.0,Rule14,open_sea_offshore_wind_farm,1,10.0,0.0,10000.8,1,IMAZU标准测试,../../scenarios/IMAZU标准测试/imazu-01-ho.yaml
