backend,rep,startup_total_ms,cold_solve_ms,warm_mean_ms,warm_per_step_ms,benchmark_total_ms,cold_status,cold_iterations,min_cpa_m,trajectory_size,dispatch_reason
ipopt,1,447.8707,2293.947704,2317.19987,28.964998375,25913.817104,Converged,134,547.185870518,80,not_compiled_in_ipopt_binary
ipopt,2,446.687226,2364.729105,2321.7875973,29.0223449662,26029.292304,Converged,134,547.185870518,80,not_compiled_in_ipopt_binary
ipopt,3,481.893333,2391.302186,2373.3787492,29.667234365,26606.983011,Converged,134,547.185870518,80,not_compiled_in_ipopt_binary
ipopt,4,469.27076,2371.658477,2455.9187921,30.6989849012,27400.117158,Converged,134,547.185870518,80,not_compiled_in_ipopt_binary
ipopt,5,489.81829,2416.589478,2367.7497227,29.5968715337,26583.904995,Converged,134,547.185870518,80,not_compiled_in_ipopt_binary
acados,1,45972.678372,7.169309,6.9533371,0.08691671375,46049.381052,NumericalFailure,1,72.3113452109,80,all_pass
acados,2,45149.729259,8.620884,6.9459561,0.08682445125,45227.809704,NumericalFailure,1,72.3113452109,80,all_pass
acados,3,47102.839087,8.782309,7.4359111,0.09294888875,47185.980507,NumericalFailure,1,72.3113452109,80,all_pass
acados,4,45497.68985,10.280601,7.7066903,0.09633362875,45585.037354,NumericalFailure,1,72.3113452109,80,all_pass
acados,5,45661.846738,9.553281,7.8722473,0.09840309125,45750.122492,NumericalFailure,1,72.3113452109,80,all_pass
