sim_t,lat,lon,heading_deg,sog,xte_m,behavior,conflict,task_validity,ctwp_lat,ctwp_lon,target_lat,target_lon,cpa_m,avoidance_status,avoidance_turn_r,xte_nm,wall_t
32.24,63.440146,10.38,0.264,6.12,-0.01,,0,-1,0.0,0.0,0.0,0.0,0.0,,0.0,-1.0,31.488
32.28,63.44015,10.38,0.285,6.12,-0.01,COLREG_AVOID,0,-1,0.0,0.0,0.0,0.0,0.0,,0.0,-1.0,31.528
32.32,63.440152,10.38,0.3,6.12,-0.01,COLREG_AVOID,0,-1,0.0,0.0,63.473186,10.38,3673.3,,0.0,-1.0,31.566
32.36,63.440154,10.38,0.316,6.11,-0.01,COLREG_AVOID,0,-1,0.0,0.0,63.473186,10.38,3673.0,,0.0,-1.0,31.604
32.4,63.440156,10.38,0.331,6.11,-0.02,COLREG_AVOID,0,2,63.606554,10.38,63.473186,10.38,3672.8,,0.0,0.0,31.644
32.44,63.440158,10.38,0.348,6.11,-0.02,COLREG_AVOID,0,2,63.606554,10.38,63.473182,10.38,3672.0,NORMAL,500.0,0.0,31.684
32.48,63.440161,10.38,0.364,6.11,-0.02,COLREG_AVOID,0,2,63.606554,10.38,63.473182,10.38,3671.8,NORMAL,500.0,0.0,31.725
32.52,63.440163,10.38,0.381,6.11,-0.02,COLREG_AVOID,1,2,63.606554,10.38,63.473177,10.38,3671.0,NORMAL,500.0,0.0,31.765
32.56,63.440165,10.38,0.399,6.11,-0.02,COLREG_AVOID,1,2,63.606554,10.38,63.473177,10.38,3670.8,NORMAL,500.0,0.0,31.804
32.6,63.440167,10.38,0.417,6.11,-0.02,COLREG_AVOID,1,2,63.606554,10.38,63.473177,10.38,3670.5,NORMAL,500.0,0.0,31.846
32.64,63.440169,10.38,0.436,6.1,-0.02,COLREG_AVOID,1,2,63.606554,10.38,63.473172,10.38,3669.8,NORMAL,500.0,0.0,31.884
32.68,63.440172,10.38,0.455,6.1,-0.02,COLREG_AVOID,1,2,63.606554,10.38,63.473172,10.38,3669.5,NORMAL,500.0,0.0,31.925
32.72,63.440174,10.38,0.475,6.1,-0.02,COLREG_AVOID,1,2,63.606554,10.38,63.473168,10.38,3668.8,NORMAL,500.0,0.0,31.965
32.76,63.440176,10.38,0.495,6.1,-0.02,COLREG_AVOID,1,2,63.606554,10.38,63.473168,10.38,3668.5,NORMAL,500.0,0.0,32.005
32.8,63.440178,10.38,0.516,6.1,-0.02,COLREG_AVOID,1,2,63.606554,10.38,63.473163,10.38,3667.8,NORMAL,500.0,0.0,32.046
32.84,63.44018,10.38,0.538,6.1,-0.02,COLREG_AVOID,1,2,63.606554,10.38,63.473163,10.38,3667.5,NORMAL,500.0,0.0,32.086
32.88,63.440182,10.38,0.56,6.1,-0.02,COLREG_AVOID,1,2,63.606554,10.38,63.473163,10.38,3667.3,NORMAL,500.0,0.0,32.125
32.92,63.440185,10.38,0.582,6.09,-0.02,COLREG_AVOID,1,2,63.606554,10.38,63.473158,10.38,3666.5,NORMAL,500.0,0.0,32.165
32.96,63.440187,10.38,0.605,6.09,-0.02,COLREG_AVOID,1,2,63.606554,10.38,63.473158,10.38,3666.3,NORMAL,500.0,0.0,32.203
