Omega_rad_s,Heading_deg,Cwx_kN_m2,Cwy_kN_m2,Cwz_kNm_m2
0.3,0.0,0.0,0.0,0.0
0.3,45.0,0.001,0.002,0.001
0.3,90.0,0.0,0.005,0.002
0.5,0.0,0.01,0.0,0.0
0.5,45.0,0.03,0.04,0.01
0.5,90.0,0.0,0.08,0.02
0.7,0.0,0.15,0.0,0.0
0.7,45.0,0.12,0.20,0.05
0.7,90.0,0.0,0.30,0.10
0.9,0.0,0.25,0.0,0.0
0.9,45.0,0.20,0.35,0.08
0.9,90.0,0.0,0.45,0.15
1.2,0.0,0.10,0.0,0.0
1.2,45.0,0.08,0.15,0.04
1.2,90.0,0.0,0.20,0.05
1.5,0.0,0.05,0.0,0.0
1.5,45.0,0.04,0.08,0.02
1.5,90.0,0.0,0.10,0.02
0.3,135.0,-0.001,0.002,-0.001
0.5,135.0,-0.03,0.04,-0.01
0.7,135.0,-0.12,0.20,-0.05
0.9,135.0,-0.20,0.35,-0.08
1.2,135.0,-0.08,0.15,-0.04
1.5,135.0,-0.04,0.08,-0.02
0.3,180.0,-0.002,0.0,0.0
0.5,180.0,-0.015,0.0,0.0
0.7,180.0,-0.18,0.0,0.0
0.9,180.0,-0.30,0.0,0.0
1.2,180.0,-0.12,0.0,0.0
1.5,180.0,-0.06,0.0,0.0
0.3,225.0,-0.001,-0.002,-0.001
0.5,225.0,-0.03,-0.04,-0.01
0.7,225.0,-0.12,-0.20,-0.05
0.9,225.0,-0.20,-0.35,-0.08
1.2,225.0,-0.08,-0.15,-0.04
1.5,225.0,-0.04,-0.08,-0.02
0.3,270.0,0.0,-0.005,-0.002
0.5,270.0,0.0,-0.08,-0.02
0.7,270.0,0.0,-0.30,-0.10
0.9,270.0,0.0,-0.45,-0.15
1.2,270.0,0.0,-0.20,-0.05
1.5,270.0,0.0,-0.10,-0.02
0.3,315.0,0.001,-0.002,0.001
0.5,315.0,0.03,-0.04,0.01
0.7,315.0,0.12,-0.20,0.05
0.9,315.0,0.20,-0.35,0.08
1.2,315.0,0.08,-0.15,0.04
1.5,315.0,0.04,-0.08,0.02
